cmt_code,cmt_name,,phoenix_name,,official_en,official_fr
PCO,Privy Council Office / Bureau du Conseil privé,,Privy Council Office / Bureau du Conseil privé,,Privy Council Office,Bureau du Conseil privé
PEN,Correctional Services Canada / Service correctionnel du Canada,,Correctional Services Canada / Service correctionnel du Canada,,Correctional Service Canada,Service correctionnel Canada
POL,Canadian Polar Commission / Commission affaires polaires,,Canadian Polar Commission / Commission affaires polaires,,Canadian Polar Commission,Commission affaires polaires
PPD,Office of the Director of Public Prosecutions / Bureau du directeur des poursuites pénales,,Office of the Director of Public Prosecutions / Bureau du directeur des poursuites pénales,,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
PPDPEN,Public Prosecution Service of Canada / Service des poursuites pénales du Canada,,Public Prosecution Service of Canada / Service des poursuites pénales du Canada,,N/A,N/A
PPS,Parliamentary Protective Service / Service de protection parlementaire,,Parliamentary Protective Service / Service de protection parlementaire,,Parliamentary Protective Service,Service de protection parlementaire
PRT,Reg Pub Serv Discl Prot'n Trib / Greffe tribunal protect fonct.,,Reg Pub Serv Discl Prot'n Trib / Greffe tribunal protect fonct.,,Public Servants Disclosure Protection Tribunal,Tribunal de la protection des fonctionnaires divulgateurs
PSC,Public Service Commission / Commission de la fonction publique,,Public Service Commission / Commission de la fonction publique,,Public Service Commission of Canada,Commission de la fonction publique du Canada
PSP,Public Safety / Sécurité Publique,,Public Safety / Sécurité Publique,,Public Safety Canada,Sécurité publique Canada
PTP,Canadian Human Rights Tribunal / Tribunal droits de la personne,,Canadian Human Rights Tribunal / Tribunal droits de la personne,,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne
PXR,Patented Medicine Prices Review Board / Conseil d’examen du prix des médicaments brevetés,,Patented Medicine Prices Review Board / Conseil d’examen du prix des médicaments brevetés,,Patented Medicine Prices Review Board Canada,Conseil d’examen du prix des médicaments brevetés
RCM,Royal Canadian Mounted Police / Gendarmerie royale du Canada,,Royal Canadian Mounted Police / Gendarmerie royale du Canada,,Royal Canadian Mounted Police,Gendarmerie royale du Canada
RCT,Registry of the Competition Tribunal / Registraire du tribunal de la concurrence,,Registry of the Competition Tribunal / Registraire du tribunal de la concurrence,,Registry of the Competition Tribunal,Registraire du tribunal de la concurrence
REC,RCMP External Review Committee / Comité externe d'examen de la GRC,,RCMP External Review Committee / Comité externe d'examen de la GRC,,RCMP External Review Committee,Comité externe d'examen de la GRC
RLT,Public Serv Labour Rel'ns Brd / Comm relat travail fonct publ,,Public Serv Labour Rel'ns Brd / Comm relat travail fonct publ,,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral
RPP,Civilian Review and Complaints Commission for the RCMP / Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,,Civilian Review and Complaints Commission for the RCMP / Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC
RSN,Natural Resources Canada / Ressources naturelles Canada,,Natural Resources Canada / Ressources naturelles Canada,,Natural Resources Canada,Ressources naturelles Canada 
RTC,Canadian Radio-Television and Telecommunications Commission / Conseil de la radio diffusion et des télécommunications canadienne,,Canadian Radio-Television and Telecommunications Commission / Conseil de la radio diffusion et des télécommunications canadienne,,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
SEN,Senate (Employees) / Sénat,,Senate (Employees) / Sénat,,Senate of Canada,Sénat du Canada
SIF,Office of the Superintendent of Financial Institutions Canada / Bureau du surintendant des institutions financières Canada,,Office of the Superintendent of Financial Institutions Canada / Bureau du surintendant des institutions financières Canada,,Superintendent of Financial Institutions Canada (Office of the),Bureau du surintendant des institutions financières Canada
SIR,Security Intelligence Review Committee / Comité de surveillance des activités de renseignement de sécurité,,Security Intelligence Review Committee / Comité de surveillance des activités de renseignement de sécurité,,Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité
SRT,Office of the Communications Security Establishment Commissioner / Bureau du commissaire du Centre de la sécurité des télécommunications,,Office of the Communications Security Establishment Commissioner / Bureau du commissaire du Centre de la sécurité des télécommunications,,Communications Security Establishment Commissioner (Office of the),Bureau du commissaire du Centre de la sécurité des télécommunications
SSH,Social Sciences and Humanities Research Council of Canada / Conseil de recherches en sciences humaines du Canada,,Social Sciences and Humanities Research Council of Canada / Conseil de recherches en sciences humaines du Canada,,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
STC,Statistics Canada / Statistique Canada,,Statistics Canada / Statistique Canada,,Statistics Canada,Statistique Canada
SUC,Supreme Court of Canada / Cour suprême du Canada,,Supreme Court of Canada / Cour suprême du Canada,,Supreme Court of Canada,Cour suprême du Canada
SVC,Public Services and Procurement Canada / Services publics et Approvisionnement Canada,,Public Services and Procurement Canada / Services publics et Approvisionnement Canada,,Public Services and Procurement Canada , Services publics et Approvisionnement Canada
SYT,Statistics Survey Operations / Opérations des enquêtes statistiques,,Statistics Survey Operations / Opérations des enquêtes statistiques,,Statistical Survey Operations,Opérations des enquêtes statistiques
TAT,Trnsport'n Appeal Tribunal Cda / Tribunal d'appel transports,,Trnsport'n Appeal Tribunal Cda / Tribunal d'appel transports,,Transportation Appeal Tribunal of Canada,Tribunal d'appel des transports du Canada
TBD,Treasury Board of Canada Secretariat / Secrétariat du Conseil du Trésor du Canada,,Treasury Board of Canada Secretariat / Secrétariat du Conseil du Trésor du Canada,,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
TSB,Transportation Safety Board of Canada / Bureau de la sécurité des transports du Canada,,Transportation Safety Board of Canada / Bureau de la sécurité des transports du Canada,,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
TSD,Public Serv Staffing Tribunal / Tribunal dotation fonct publ,,Public Serv Staffing Tribunal / Tribunal dotation fonct publ,,Public Service Staffing Tribunal,Tribunal de la dotation de la fonction publique
WCO,Western Economic Diversification Canada / Diversification de l'économie de l'Ouest Canada,,Western Economic Diversification Canada / Diversification de l'économie de l'Ouest Canada,,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada 
WGE,Women and Gender Equality Canada / Femmes et Égalité des genres Canada,,Women and Gender Equality Canada / Femmes et Égalité des genres Canada,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
